Time,ADC Value,Voltage,Humidity,Temperature,Heat Index
24,38.00,22.70,22.02,2314,1.86
25,38.00,22.70,22.02,2294,1.85
26,38.00,22.70,22.02,2310,1.86
27,38.00,22.70,22.02,2293,1.85
28,38.00,22.60,21.91,2317,1.87
29,38.00,22.60,21.91,2294,1.85
30,38.00,22.70,22.02,2311,1.86
31,38.00,22.70,22.02,2294,1.85
32,38.00,22.60,21.,22.70,22.04,2293,1.85
87,39.00,22.70,22.04,2308,1.86
88,39.00,22.70,22.04,2292,1.85
89,39.00,22.70,22.04,2311,1.86
90,39.00,22.70,22.04,2293,1.85
91,39.00,22.70,22.04,2315,1.87
92,39.00,22.70,22.04,2294,1.85
93,39.00,22.70,22.04,2311,1.86
94,39.00,22.70,22.04,2293,1.85
95,38.00,22.70,22.02,2310,1.86
96,38.00,22.70,22.35,1.32
149,40.00,22.70,22.07,1635,1.32
150,40.00,22.70,22.07,1636,1.32
151,40.00,22.70,22.07,1638,1.32
152,40.00,22.70,22.07,1637,1.32
153,40.00,22.70,22.07,1643,1.32
154,39.00,22.70,22.04,1637,1.32
155,39.00,22.70,22.04,1639,1.32
156,39.00,22.70,22.04,1635,1.32
157,39.00,22.70,22.04,1638,1.32
158,39.00,22.70,22.04,168
212,39.00,22.70,22.04,711,0.57
213,39.00,22.70,22.04,718,0.58
214,39.00,22.70,22.04,714,0.58
215,39.00,22.70,22.04,717,0.58
216,39.00,22.70,22.04,709,0.57
217,39.00,22.70,22.04,718,0.58
218,39.00,22.70,22.04,711,0.57
219,39.00,22.70,22.04,718,0.58
220,39.00,22.70,22.04,711,0.57
221,39.00,22.70,22.04,718,0.58
222,39.8
276,39.00,22.70,22.04,713,0.57
277,39.00,22.80,22.15,720,0.58
278,39.00,22.80,22.15,713,0.57
279,39.00,22.80,22.15,720,0.58
280,39.00,22.80,22.15,713,0.57
281,39.00,22.80,22.15,720,0.58
282,39.00,22.80,22.15,710,0.57
283,39.00,22.70,22.04,719,0.58
284,39.00,22.70,22.04,711,0.57
285,39.00,22.70,22.04,717,0.58
286,39.8
340,38.00,22.70,22.02,710,0.57
341,38.00,22.70,22.02,719,0.58
342,38.00,22.70,22.02,709,0.57
343,38.00,22.70,22.02,719,0.58
344,38.00,22.70,22.02,714,0.58
345,38.00,22.70,22.02,719,0.58
346,38.00,22.70,22.02,711,0.57
347,38.00,22.70,22.02,720,0.58
348,38.00,22.70,22.02,710,0.57
349,38.00,22.70,22.02,720,0.58
350,38.8
404,38.00,22.70,22.02,710,0.57
405,38.00,22.70,22.02,720,0.58
406,38.00,22.70,22.02,710,0.57
407,38.00,22.70,22.02,719,0.58
408,38.00,22.70,22.02,710,0.57
409,38.00,22.70,22.02,718,0.58
410,38.00,22.70,22.02,711,0.57
411,38.00,22.70,22.02,719,0.58
412,38.00,22.70,22.02,711,0.57
413,38.00,22.70,22.02,720,0.58
414,38.8
468,38.00,22.60,21.91,710,0.57
469,38.00,22.60,21.91,720,0.58
470,38.00,22.60,21.91,711,0.57
471,38.00,22.60,21.91,720,0.58
472,38.00,22.60,21.91,713,0.57
473,38.00,22.70,22.02,720,0.58
474,38.00,22.70,22.02,713,0.57
475,38.00,22.60,21.91,720,0.58
476,38.00,22.60,21.91,713,0.57
477,38.00,22.70,22.02,720,0.58
478,38.8
532,38.00,22.60,21.91,714,0.58
533,38.00,22.60,21.91,720,0.58
534,38.00,22.60,21.91,715,0.58
535,38.00,22.70,22.02,721,0.58
536,38.00,22.70,22.02,714,0.58
537,38.00,22.70,22.02,722,0.58
538,38.00,22.70,22.02,716,0.58
539,38.00,22.70,22.02,720,0.58
540,38.00,22.70,22.02,714,0.58
541,38.00,22.70,22.02,723,0.58
542,38.8
596,38.00,22.70,22.02,714,0.58
597,38.00,22.70,22.02,722,0.58
598,38.00,22.70,22.02,717,0.58
599,38.00,22.70,22.02,722,0.58
600,38.00,22.70,22.02,717,0.58
601,38.00,22.70,22.02,723,0.58
602,38.00,22.70,22.02,714,0.58
603,38.00,22.70,22.02,722,0.58
604,38.00,22.70,22.02,715,0.58
608,38.00,22.70,22.02,721,0.58
