Time,ADC Value,Voltage,Humidity,Temperature,Heat Index
24,38.00,22.70,22.02,2314,1.86
25,38.00,22.70,22.02,2294,1.85
26,38.00,22.70,22.02,2310,1.86
27,38.00,22.70,22.02,2293,1.85
28,38.00,22.60,21.91,2317,1.87
29,38.00,22.60,21.91,2294,1.85
30,38.00,22.70,22.02,2311,1.86
31,38.00,22.70,22.02,2294,1.85
32,38.00,22.60,21.,22.70,22.04,2293,1.85
87,39.00,22.70,22.04,2308,1.86
88,39.00,22.70,22.04,2292,1.85
89,39.00,22.70,22.04,2311,1.86
90,39.00,22.70,22.04,2293,1.85
91,39.00,22.70,22.04,2315,1.87
92,39.00,22.70,22.04,2294,1.85
93,39.00,22.70,22.04,2311,1.86
94,39.00,22.70,22.04,2293,1.85
95,38.00,22.70,22.02,2310,1.86
96,38.00,22.70,22.35,1.32
149,40.00,22.70,22.07,1635,1.32
150,40.00,22.70,22.07,1636,1.32
151,40.00,22.70,22.07,1638,1.32
152,40.00,22.70,22.07,1637,1.32
153,40.00,22.70,22.07,1643,1.32
154,39.00,22.70,22.04,1637,1.32
155,39.00,22.70,22.04,1639,1.32
156,39.00,22.70,22.04,1635,1.32
157,39.00,22.70,22.04,1638,1.32
158,39.00,22.70,22.04,168
212,39.00,22.70,22.04,711,0.57
213,39.00,22.70,22.04,718,0.58
214,39.00,22.70,22.04,714,0.58
215,39.00,22.70,22.04,717,0.58
216,39.00,22.70,22.04,709,0.57
217,39.00,22.70,22.04,718,0.58
218,39.00,22.70,22.04,711,0.57
219,39.00,22.70,22.04,718,0.58
220,39.00,22.70,22.04,711,0.57
221,39.00,22.70,22.04,718,0.58
222,39.00,22.70,22.04,713,0.57
223,39.00,22.70,22.04,720,0.58
224,39.00,22.70,22.04,711,0.57
225,39.00,22.80,22.15,720,0.58
226,39.00,22.80,22.15,713,0.57
227,39.00,22.70,22.04,720,0.58
228,39.00,22.70,22.04,710,0.57
229,39.00,22.70,22.04,720,0.58
230,39.00,22.70,22.04,711,0.57
231,39.00,22.70,22.04,720,0.58
232,39.00,22.70,22.04,711,0.57
233,39.00,22.70,22.04,717,0.58
234,39.00,22.70,22.04,711,0.57
235,39.00,22.70,22.04,720,0.58
236,39.00,22.70,22.04,711,0.57
237,39.00,22.70,22.04,720,0.58
238,39.00,22.70,22.04,708,0.57
239,39.00,22.70,22.04,720,0.58
240,39.00,22.70,22.04,711,0.57
241,39.00,22.70,22.04,719,0.58
242,39.00,22.70,22.04,713,0.57
243,39.00,22.70,22.04,720,0.58
244,39.00,22.70,22.04,713,0.57
245,39.00,22.70,22.04,720,0.58
246,39.00,22.70,22.04,711,0.57
247,39.00,22.70,22.04,720,0.58
248,39.00,22.70,22.04,712,0.57
249,39.00,22.70,22.04,720,0.58
250,39.00,22.70,22.04,713,0.57
