Time,Voltage 1,Voltage 2,Voltage 3, Voltage 4,Resistance 1,Resistance 2,Resistance 3,Resistance 4,
94,0.57,1.74,1.68,2.88,69527.47253,91684.61538,85244.44444,384000,
95,0.56,1.73,1.69,2.88,68058.39416,90577.07006,86284.47205,384000,
96,0.57,1.72,1.66,2.88,69527.47253,89483.5443,83202.43902,384000,
97,0.56,1.72,1.68,2.87,68058.39416,89483.5443,85244.44444,373767.4419,
98,0.57,1.74,1.69,2.86,69527.47253,91684.61538,86284.47205,364000,
99,0.57,1.71,1.69,2.9,69527.47253,88403.77358,86284.47205,406000,
100,0.56,1.73,1.64,2.88,68058.39416,90577.07006,81209.63855,384000,
101,0.57,1.74,1.69,2.88,69527.47253,91684.61538,86284.47205,384000,
102,0.55,1.72,1.72,2.88,66600,89483.5443,89483.5443,384000,
103,0.56,1.74,1.73,2.9,68058.39416,91684.61538,90577.07006,406000,
104,0.56,1.74,1.68,2.88,68058.39416,91684.61538,85244.44444,384000,
105,0.58,1.72,1.71,2.9,71007.35294,89483.5443,88403.77358,406000,
106,0.58,1.73,1.69,2.88,71007.35294,90577.07006,86284.47205,384000,
107,0.56,1.76,1.71,2.9,68058.39416,93942.85714,88403.77358,406000,
108,0.57,1.73,1.7,2.91,69527.47253,90577.07006,87337.5,417846.1538,
109,0.58,1.73,1.87,2.91,71007.35294,90577.07006,107492.3077,417846.1538,
110,0.56,1.75,1.79,2.89,68058.39416,92806.45161,97442.38411,394731.7073,
111,0.57,1.74,1.75,2.89,69527.47253,91684.61538,92806.45161,394731.7073,
112,0.58,1.76,1.76,2.9,71007.35294,93942.85714,93942.85714,406000,
113,0.57,1.8,1.73,2.89,69527.47253,98640,90577.07006,394731.7073,
114,0.57,1.82,1.73,2.91,69527.47253,101083.7838,90577.07006,417846.1538,
115,0.56,1.82,1.73,2.9,68058.39416,101083.7838,90577.07006,406000,
116,0.57,1.82,1.73,2.91,69527.47253,101083.7838,90577.07006,417846.1538,
117,0.58,1.81,1.72,2.91,71007.35294,99853.69128,89483.5443,417846.1538,
118,0.57,1.82,1.71,2.89,69527.47253,101083.7838,88403.77358,394731.7073,
119,0.56,1.82,1.72,2.9,68058.39416,101083.7838,89483.5443,406000,
120,0.58,1.79,1.71,2.9,71007.35294,97442.38411,88403.77358,406000,
121,0.57,1.82,1.72,2.9,69527.47253,101083.7838,89483.5443,406000,
122,0.56,1.79,1.72,2.9,68058.39416,97442.38411,89483.5443,406000,
123,0.58,1.79,1.73,2.89,71007.35294,97442.38411,90577.07006,394731.7073,
124,0.58,1.81,1.72,2.91,71007.35294,99853.69128,89483.5443,417846.1538,
125,0.57,1.79,1.73,2.9,69527.47253,97442.38411,90577.07006,406000,
126,0.58,1.79,1.72,2.89,71007.35294,97442.38411,89483.5443,394731.7073,
127,0.56,1.79,1.72,2.91,68058.39416,97442.38411,89483.5443,417846.1538,
128,0.57,1.79,1.73,2.9,69527.47253,97442.38411,90577.07006,406000,
129,0.56,1.79,1.72,2.9,68058.39416,97442.38411,89483.5443,406000,
130,0.56,1.8,1.72,2.91,68058.39416,98640,89483.5443,417846.1538,
131,0.56,1.79,1.71,2.9,68058.39416,97442.38411,88403.77358,406000,
132,0.56,1.81,1.73,2.91,68058.39416,99853.69128,90577.07006,417846.1538,
133,0.57,1.8,1.73,2.9,69527.47253,98640,90577.07006,406000,
134,0.57,1.81,1.72,2.9,69527.47253,99853.69128,89483.5443,406000,
135,0.57,1.79,1.73,2.9,69527.47253,97442.38411,90577.07006,406000,
136,0.57,1.8,1.72,2.9,69527.47253,98640,89483.5443,406000,
137,0.57,1.79,1.73,2.91,69527.47253,97442.38411,90577.07006,417846.1538,
138,0.57,1.79,1.73,2.91,69527.47253,97442.38411,90577.07006,417846.1538,
139,0.57,1.8,1.72,2.89,69527.47253,98640,89483.5443,394731.7073,
140,0.57,1.81,1.72,2.89,69527.47253,99853.69128,89483.5443,394731.7073,
141,0.57,1.79,1.72,2.91,69527.47253,97442.38411,89483.5443,417846.1538,
142,0.58,1.79,1.71,2.9,71007.35294,97442.38411,88403.77358,406000,
143,0.57,1.8,1.73,2.91,69527.47253,98640,90577.07006,417846.1538,
144,0.57,1.79,1.74,2.91,69527.47253,97442.38411,91684.61538,417846.1538,
145,0.57,1.8,1.71,2.91,69527.47253,98640,88403.77358,417846.1538,
146,0.57,1.79,1.73,2.91,69527.47253,97442.38411,90577.07006,417846.1538,
147,0.56,1.81,1.71,2.89,68058.39416,99853.69128,88403.77358,394731.7073,
