Time,ADC Value,Voltage,Humidity,Temperature,Heat Index
5,30.00,22.50,21.59,2358,1.90
10,30.00,22.50,21.59,2359,1.90
15,30.00,22.50,21.59,2357,1.90
20,30.00,22.50,21.59,2363,1.90
25,30.00,22.50,21.59,2352,1.90
30,30.00,22.50,21.59,2352,1.90
35,30.00,22.50,21.59,2361,1.90
40,30.00,22.50,21.59,2352,1.90
45,30.00,22.50,21.59,2353,1.90
50,30.00,22.50,21.59,2352,1.90
55,30.00,22.50,21.59,2352,1.90
60,30.00,22.50,21.59,2350,1.89
65,30.00,22.50,21.59,2352,1.90
70,30.00,22.50,21.59,2351,1.89
Time,ADC Value,Voltage,Humidity,Temperature,Heat Index
5,30.00,22.50,21.59,2358,1.90
10,30.00,22.50,21.59,2359,1.90
15,30.00,22.50,21.59,2357,1.90
20,30.00,22.50,21.59,2363,1.90
25,30.00,22.50,21.59,2352,1.90
30,30.00,22.50,21.59,2352,1.90
35,30.00,22.50,21.59,2361,1.90
40,30.00,22.50,21.59,2352,1.90
45,30.00,22.50,21.59,2353,1.90
50,30.00,22.50,21.59,2352,1.90
55,30.00,22.50,21.59,2352,1.90
60,30.00,22.50,21.59,2350,1.89
65,30.00,22.50,21.59,2352,1.90
70,30.00,22.50,21.59,2351,1.89
75,30.00,22.50,21.59,2352,1.90
80,29.00,22.50,21.56,2352,1.90
85,29.00,22.50,21.56,2352,1.90
90,29.00,22.50,21.56,2352,1.90
95,30.00,22.50,21.59,2352,1.90
100,30.00,22.50,21.59,2352,1.90
105,30.00,22.50,21.59,2352,1.90
110,30.00,22.50,21.59,2351,1.89
115,29.00,22.50,21.56,2352,1.90
120,29.00,22.50,21.56,2352,1.90
125,29.00,22.50,21.56,2352,1.90
130,29.00,22.50,21.56,2351,1.89
