Time,ADC Value,Voltage,Humidity,Temperature,Heat Index
24,38.00,22.70,22.02,2314,1.86
25,38.00,22.70,22.02,2294,1.85
26,38.00,22.70,22.02,2310,1.86
27,38.00,22.70,22.02,2293,1.85
28,38.00,22.60,21.91,2317,1.87
29,38.00,22.60,21.91,2294,1.85
30,38.00,22.70,22.02,2311,1.86
31,38.00,22.70,22.02,2294,1.85
32,38.00,22.60,21.,22.70,22.04,2293,1.85
87,39.00,22.70,22.04,2308,1.86
88,39.00,22.70,22.04,2292,1.85
89,39.00,22.70,22.04,2311,1.86
90,39.00,22.70,22.04,2293,1.85
91,39.00,22.70,22.04,2315,1.87
92,39.00,22.70,22.04,2294,1.85
93,39.00,22.70,22.04,2311,1.86
94,39.00,22.70,22.04,2293,1.85
95,38.00,22.70,22.02,2310,1.86
96,38.00,22.70,22.35,1.32
149,40.00,22.70,22.07,1635,1.32
150,40.00,22.70,22.07,1636,1.32
151,40.00,22.70,22.07,1638,1.32
152,40.00,22.70,22.07,1637,1.32
153,40.00,22.70,22.07,1643,1.32
154,39.00,22.70,22.04,1637,1.32
155,39.00,22.70,22.04,1639,1.32
156,39.00,22.70,22.04,1635,1.32
157,39.00,22.70,22.04,1638,1.32
158,39.00,22.70,22.04,1635,1.32
159,39.00,22.70,22.04,1638,1.32
160,39.00,22.70,22.04,1637,1.32
161,39.00,22.70,22.04,1639,1.32
162,39.00,22.70,22.04,1636,1.32
163,39.00,22.70,22.04,1639,1.32
164,39.00,22.70,22.04,1634,1.32
165,39.00,22.70,22.04,1639,1.32
166,39.00,22.70,22.04,1634,1.32
167,39.00,22.70,22.04,1639,1.32
168,39.00,22.70,22.04,1634,1.32
169,39.00,22.70,22.04,1639,1.32
170,39.00,22.70,22.04,1635,1.32
171,39.00,22.70,22.04,1638,1.32
172,39.00,22.70,22.04,1635,1.32
173,39.00,22.70,22.04,1637,1.32
174,38.00,22.70,22.02,1641,1.32
175,38.00,22.70,22.02,720,0.58
176,39.00,22.70,22.04,710,0.57
177,39.00,22.70,22.04,716,0.58
178,39.00,22.70,22.04,710,0.57
179,39.00,22.70,22.04,717,0.58
180,39.00,22.70,22.04,708,0.57
181,39.00,22.70,22.04,716,0.58
182,39.00,22.70,22.04,710,0.57
183,39.00,22.70,22.04,716,0.58
184,39.00,22.70,22.04,710,0.57
185,39.00,22.70,22.04,718,0.58
186,39.00,22.70,22.04,711,0.57
187,39.00,22.70,22.04,718,0.58
188,39.00,22.70,22.04,710,0.57
189,39.00,22.70,22.04,718,0.58
190,39.00,22.70,22.04,711,0.57
191,39.00,22.70,22.04,718,0.58
192,39.00,22.70,22.04,709,0.57
193,39.00,22.70,22.04,719,0.58
194,39.00,22.70,22.04,710,0.57
195,39.00,22.70,22.04,718,0.58
196,39.00,22.70,22.04,710,0.57
